room,x,y
223,39.50612927532995,4.480563296109769
215,27.137948985485007,4.480563296109769
207,15.1300069565093,4.480563296109769
208,16.330801159406906,5.600704120137212
210,17.5315953623045,5.600704120137212
214,23.535566376792307,5.600704120137212
204,10.326830144919072,5.600704120137212
212,21.73437507244596,5.600704120137212
213,25.336757681138657,4.480563296109769
228,46.830973913005096,5.600704120137212
209,19.332786666650826,4.480563296109769
217,30.98049043475722,4.480563296109769
206,12.128021449265423,5.600704120137212
221,36.98446144924505,4.480563296109769
210,18.131992463753257,5.600704120137212
220,34.58287304344992,5.600704120137212
219,32.78168173910357,4.480563296109769
208,15.730404057958122,5.600704120137212
204,9.72643304347029,5.600704120137212
224,40.10652637677872,5.600704120137212
222,35.783667246347484,5.600704120137212
220,33.98247594200114,5.600704120137212
226,41.90771768112507,5.600704120137212
212,22.334772173894734,5.600704120137212
216,27.738346086933788,5.600704120137212
217,31.580887536206003,4.480563296109769
230,48.031768115902665,5.600704120137212
224,40.70692347822751,5.600704120137212
209,18.73238956520204,4.480563296109769
223,38.90573217388116,4.480563296109769
215,26.53755188403622,4.480563296109769
214,24.135963478241088,5.600704120137212
230,48.63216521735144,5.600704120137212
227,45.02978260865876,4.480563296109769
219,33.38207884055235,4.480563296109769
213,24.73636057968988,4.480563296109769
211,21.13397797099717,4.480563296109769
228,46.23057681155632,5.600704120137212
225,43.7089089854714,4.480563296109769
205,12.728418550714206,4.480563296109769
221,37.58485855069384,4.480563296109769
207,14.529609855060556,4.480563296109769
211,20.533580869548388,4.480563296109769
205,13.328815652162987,4.480563296109769
218,29.779696231859653,5.600704120137212
226,42.508114782573855,5.600704120137212
225,43.10851188402265,4.480563296109769
206,11.52762434781664,5.600704120137212
216,28.338743188382573,5.600704120137212
